Designator,Mid X,Mid Y,Rotation,Layer
C1,179.4,-105.1,270.0,top
C10,226.1842,-57.39,0.0,top
C11,226.1842,-60.39,0.0,top
C12,226.1842,-63.3,0.0,top
C13,220.7842,-61.7375,180.0,top
C14,220.7842,-57.0375,180.0,top
C15,220.7842,-52.2875,180.0,top
C16,220.7842,-47.5375,180.0,top
C17,226.9592,-45.4,180.0,top
C18,226.9592,-48.9,180.0,top
C19,229.4592,-82.0,0.0,top
C2,77.9,-35.7,0.0,top
C20,211.9592,-48.6,0.0,top
C21,211.9592,-51.7,0.0,top
C22,211.9592,-54.8,0.0,top
C23,212.0842,-59.65,0.0,top
C24,212.0842,-64.6,0.0,top
C25,212.0842,-69.35,0.0,top
C26,233.4842,-85.3,0.0,top
C27,241.6842,-100.8,0.0,top
C28,239.6592,-104.4,0.0,top
C29,72.9,-143.325,270.0,top
C3,204.4,-105.9,270.0,top
C30,61.5,-143.5,270.0,top
C31,135.580001,-61.26625,0.0,top
C32,129.83,-56.001,0.0,top
C33,117.2,-60.9,0.0,top
C34,97.2,-55.8,0.0,top
C35,111.0,-56.2,0.0,top
C36,102.925001,-60.76525,0.0,top
C37,149.250001,-62.1,0.0,top
C38,143.6,-56.4,0.0,top
C4,179.5,-110.5,0.0,top
C5,179.5,-114.8,0.0,top
C6,206.275,-118.0,0.0,top
C7,169.1,-52.0,90.0,top
C8,164.6,-51.9,90.0,top
C9,226.1842,-54.49,0.0,top
CR1,230.1,-57.7,90.0,top
D1,77.873799,-40.4,0.0,top
D10,157.072401,-151.4394,0.0,top
D11,223.6,-151.3,0.0,top
D12,124.52,-142.8,0.0,top
D13,129.8484,-147.7,0.0,top
D14,129.8484,-151.2,0.0,top
D15,227.3592,-85.3,180.0,top
D16,237.4592,-87.05,270.0,top
D17,242.4592,-62.9,180.0,top
D18,242.491,-66.0,180.0,top
D19,135.05575,-44.98,90.0,top
D2,160.0,-113.4682,90.0,top
D20,112.155748,-45.3295,90.0,top
D21,103.35575,-45.28,90.0,top
D22,144.25575,-44.98,90.0,top
D3,204.3,-111.1,180.0,top
D4,207.9826,-132.7,180.0,top
D5,157.172401,-143.5394,0.0,top
D6,90.42,-144.1,0.0,top
D7,90.5484,-148.3,0.0,top
D8,90.5484,-152.0,0.0,top
D9,209.1224,-149.0,0.0,top
F1,71.6,-35.6,270.0,top
F2,157.9,-37.3,90.0,top
J1,71.6,-27.4,90.0,top
J10,259.05,-24.4,90.0,top
J11,259.025,-31.4,90.0,top
J12,259.125,-38.6,90.0,top
J13,229.45575,-27.4,270.0,top
J14,210.6,-27.4,270.0,top
J15,250.7,-94.725,90.0,top
J16,158.2,-63.7,0.0,top
J2,37.46,-46.29575,270.0,top
J3,37.57,-87.9,270.0,top
J4,37.57,-130.17,270.0,top
J5,110.8115,-27.7,270.0,top
J6,143.05575,-27.7,270.0,top
J7,243.725,-38.6,90.0,top
J8,243.725,-31.4,90.0,top
J9,243.625,-24.5,90.0,top
K1,195.5,-107.0,0.0,top
K2,179.5,-31.1,0.0,top
K3,86.2,-103.431149,0.0,top
K4,120.149999,-103.499998,0.0,top
L1,240.025952,-77.3,0.0,top
MOSFET1,128.59055,-27.7,270.0,top
MOSFET2,120.29055,-27.714999,90.0,top
MOSFET3,95.75575,-27.7,270.0,top
MOSFET4,153.65575,-27.7285,90.0,top
Q1,163.5,-107.9285,90.0,top
Q2,200.5475,-115.0938,180.0,top
Q3,205.6525,-127.9062,0.0,top
Q4,84.4,-143.8938,0.0,top
Q5,207.8224,-144.8,0.0,top
Q6,224.0,-147.4938,0.0,top
R1,187.4,-106.975,270.0,top
R10,201.305,-128.1,90.0,top
R11,84.4,-152.0,0.0,top
R12,210.405,-129.7,0.0,top
R13,204.005,-132.3,90.0,top
R14,163.1,-64.8,0.0,top
R15,84.4,-149.1,180.0,top
R16,150.925001,-142.4294,0.0,top
R17,150.925001,-145.4394,0.0,top
R18,202.6474,-146.1,0.0,top
R19,95.475,-147.7,180.0,top
R2,195.6,-101.2,0.0,top
R20,203.8224,-149.7,270.0,top
R21,204.5224,-141.9,270.0,top
R22,223.7,-155.1,0.0,top
R23,218.775,-148.5,0.0,top
R24,150.950001,-150.0294,0.0,top
R25,150.950001,-152.9394,0.0,top
R26,48.6,-120.0,180.0,top
R27,227.2,-151.7,270.0,top
R28,48.4,-130.5,270.0,top
R29,48.4,-125.3,270.0,top
R3,171.8,-113.6,180.0,top
R30,48.4,-135.7,270.0,top
R31,48.4,-140.9,270.0,top
R32,231.6,-53.1,180.0,top
R33,221.3592,-90.3,270.0,top
R34,252.0,-91.2,0.0,top
R35,235.7342,-62.99,0.0,top
R36,235.7342,-66.0,0.0,top
R37,221.3592,-93.7,270.0,top
R38,225.8592,-100.775,90.0,top
R39,241.7592,-92.2,270.0,top
R4,166.825,-102.9,180.0,top
R40,241.6342,-97.1,0.0,top
R41,238.0592,-99.8,0.0,top
R42,232.2592,-103.4,0.0,top
R43,69.1,-138.1375,270.0,top
R44,65.2,-138.1,270.0,top
R45,69.2,-143.4,270.0,top
R46,65.2,-143.3625,270.0,top
R47,130.45575,-39.925,90.0,top
R48,134.13,-68.501,180.0,top
R49,134.13,-65.401,180.0,top
R5,163.4,-113.4,0.0,top
R50,116.555748,-40.0945,90.0,top
R51,115.699998,-65.2695,180.0,top
R52,115.674998,-68.5695,180.0,top
R53,98.65575,-40.325,90.0,top
R54,102.1,-68.2,180.0,top
R55,102.125,-65.1,180.0,top
R56,148.95575,-39.8,90.0,top
R57,147.8,-69.01,180.0,top
R58,147.8,-66.0,180.0,top
R6,163.4,-116.31,0.0,top
R7,209.8,-109.9,0.0,top
R8,209.8,-113.0,0.0,top
R9,163.9,-60.7,90.0,top
SW1,158.300001,-130.2,0.0,top
SW2,158.300001,-138.1,0.0,top
TP1,61.5,-27.3,0.0,top
TP2,87.0,-27.4,0.0,top
TP3,155.8,-107.1,0.0,top
TP4,189.750001,-127.1394,0.0,top
TP5,189.850001,-135.3394,0.0,top
TP6,189.950001,-143.5394,0.0,top
TP7,189.950001,-151.0394,0.0,top
TP8,169.2,-57.4,0.0,top
U1,171.775,-108.635,0.0,top
U10,129.7,-63.8,90.0,top
U11,117.0,-56.4,90.0,top
U12,111.099998,-63.8695,90.0,top
U13,102.650001,-56.56525,90.0,top
U14,97.2,-63.5,90.0,top
U15,149.150001,-57.96525,90.0,top
U16,143.5,-64.3,90.0,top
U2,191.4,-116.1,0.0,top
U3,176.3,-52.6,0.0,top
U4,221.6592,-75.5,0.0,top
U5,221.6592,-80.31,0.0,top
U6,233.4767,-49.674999,0.0,top
U7,230.1092,-92.4997,0.0,top
U8,67.9194,-150.650001,0.0,top
U9,135.480001,-57.26625,90.0,top
