"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","1uF","","","","Capacitor_THT:CP_Radial_D8.0mm_P5.00mm","~"
"C2,C3","2","4.7uF","","","","Capacitor_THT:CP_Radial_D8.0mm_P5.00mm","~"
"C4,C6,C7","3","100uF","","","","Capacitor_THT:CP_Radial_D8.0mm_P5.00mm","~"
"C5,C9,C12,C16","4","80uF","","","","Capacitor_THT:CP_Radial_D8.0mm_P5.00mm","~"
"C8,C15","2","470nF","","","","Capacitor_THT:CP_Radial_D8.0mm_P5.00mm","~"
"C10,C11,C13,C14","4","100nF","","","","Capacitor_THT:CP_Radial_D8.0mm_P5.00mm","~"
"C_sys1,C_sys2,C_sys3,C_sys4,C_sys5,C_sys6,C_sys7,C_sys8,C_sys9","9","100u","","","","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","~"
"D1,D2,D3","3","LED","","","","LED_SMD:LED_1206_3216Metric","~"
"J1,J2","2","Conn_01x02","","","","","~"
"J3","1","Conn_01x05_Socket","","","","Connector_PinSocket_1.27mm:PinSocket_1x06_P1.27mm_Vertical","~"
"L2","1","SRP1770TA-150M","","","","LVChargeNEWLocalFootprints:SRP1770TA_150M","SRP1770TA-150M"
"Q1,Q2,Q3,Q4","4","CSD15380F3T","","","","LVChargeNEWLocalFootprints:IAUZ20N08S5L300ATMA1",""
"R1,R4","2","100k","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"R2","1","53.8k","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"R3","1","85.4k","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"R5","1","2.4","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"R6","1","5.24k","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"R7,R8,R10,R11","4","10","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"R9","1","30.31k","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"R12,R13,R20","3","249k","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"R14","1","133k","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"R15,R16,R17,R18","4","10k","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"R19","1","2.6K","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"R_bat_ac1,R_bat_sns1","2",".005","","","","LVChargeNEWLocalFootprints:RESC2012X80N","~"
"U1","1","PQ25856QWRRVRQ1","","","","LVChargeNEWLocalFootprints:Q25856QWRRVRQ1","https://www.ti.com/lit/gpn/bq25856-q1"
