Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C8",CAP_CL32_SAM,4,47u,
"C10, C11, C12, C17, C19, C9",0603,6,4.7u,
"C13, C14, C15, C16",1210,4,47u,
"C18, C31, C32, C33, C34, C35, C36, C37, C38, C4, C5, C6",1206,12,0.1u,
"C20, C21, C22",0603,3,22u,
"C23, C24, C25",1210,3,100u,
C26,0603,1,0.22u,
"C27, C29, C30",0603,3,0.1n,
C28,0603,1,27n,
C7,1206,1,10u,
CR1,ZENER_Pair_15-5V_clamp,1,ESD12VD3B-TP,
D1,SOD323F_DIO,1,BZV55B15,
"D10, D11, D17, D18, D2, D3, D4, D5, D9",Test-Yellow LED,9,LED (Test),
"D12, D19, D20, D21, D22, D6",D_DO-41_SOD81_P10.16mm_Horizontal,6,1N4001,
"D13, D14, D7, D8",IMD_ZENER,4,D_Zener,
D15,DIO_DFLS1100-7,1,DFLS1100-7,
D16,POWERDI-123,1,DFLS160Q-7,
F1,C1_BEL,1,C1Q 2A,
F2,FUSC6125X279N,1,20A,
"H1, H2, H3, H4, H5, H6",MountingHole_4mm_Pad_TopBottom,6,MountingHole_Pad,
"J1, J13, J14, J5, J6",MOLEX_460150202,5,Conn_01x02_Pin,
"J10, J11, J12, J15, J7, J8, J9",PinHeader_1x02_P2.54mm_Vertical,7,Conn_01x02,
J16,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
"J2, J3, J4",AMPHENOL_L717SDA15P1ACH4F,3,L717SDA15P1ACH4F,
K1,RELAY_G6L-1P_DC5,1,G6L-1P_DC5,
K2,RELAY_ALF1PF12,1,ALF1PF12,
"K3, K4",AHES4_PAN,2,AHES4291,
L1,glv_charge_inductor,1,6.2u,
"MOSFET1, MOSFET2, MOSFET3, MOSFET4",fan_driver,4,DMN3404L-7,
"Q1, Q2, Q3, Q4, Q5, Q6",SOT23_INF,6,AON6411,
"R1, R10, R11, R13, R14, R15, R18, R21, R23, R27, R47, R50, R53, R56, R9",0603,15,10k,
"R12, R20, R22",0805,3,150R,
"R16, R17, R24, R25, R48, R49, R5, R51, R52, R54, R55, R57, R58, R6, R7, R8",0603,16,1k,
R19,0603,1,2.2k,
"R2, R4",0603,2,57.6k,
R26,0603,1,3.01k,
"R28, R29, R30, R31",1206,4,120,
R3,0805,1,22k,
R32,1206,1,0R,
R33,0603,1,50k,
R34,10m_sense,1,LVK12R010CER,
"R35, R36",0603,2,12k,
"R37, R42",0603,2,549k,
R38,0603,1,86.6k,
"R39, R43, R44",1206,3,500k,
R40,0603,1,113k,
R41,0603,1,2.91k,
"R45, R46",1206,2,215k,
SW1,SW4_1825910-B_TEC,1,Test Reset IMD,
SW2,SW4_1825910-B_TEC,1,Test Reset AMS,
"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8",TestPoint_Loop_D2.60mm_Drill1.6mm_Beaded,8,TestPoint,
"U1, U2",SOIC-8_3.9x4.9mm_P1.27mm,2,NE555D,
"U10, U12, U14, U16",motorsports_senior_design_opto,4,TLP2745TP_E,
"U11, U13, U15, U9",DBV5_TEX,4,UCC27517DBVR,
U3,REG_LT1117IST-5#PBF,1,LT1117-5.0,
"U4, U5, U6",MOSFET_INFET,3,SI7116DN-T1-E3,
U7,UFD_28_ADI,1,LTC4013EUFD-TRPBF,
U8,LM324PWR,1,LM324PWR,
